CODE,PARENTCODE,LEAF,LEVELCODE,TYPE,ISOCODE,NAME
B 05.20.0,B 05.20,0,5,N,it,Estrazione di lignite
B 05.20.00,B 05.20.0,1,6,N,it,Estrazione di lignite
B 06,B,0,2,N,it,ESTRAZIONE DI PETROLIO GREGGIO E DI GAS NATURALE
B 06.1,B 06,0,3,N,it,ESTRAZIONE DI PETROLIO GREGGIO
B 06.10,B 06.1,0,4,N,it,Estrazione di petrolio greggio
B 06.10.0,B 06.10,0,5,N,it,Estrazione di petrolio greggio
B 06.10.00,B 06.10.0,1,6,N,it,Estrazione di petrolio greggio
B 06.2,B 06,0,3,N,it,ESTRAZIONE DI GAS NATURALE
B 06.20,B 06.2,0,4,N,it,Estrazione di gas naturale
B 06.20.0,B 06.20,0,5,N,it,Estrazione di gas naturale
B 06.20.00,B 06.20.0,1,6,N,it,Estrazione di gas naturale
B 07,B,0,2,N,it,ESTRAZIONE DI MINERALI METALLIFERI
B 07.1,B 07,0,3,N,it,ESTRAZIONE DI MINERALI METALLIFERI FERROSI
B 07.10,B 07.1,0,4,N,it,Estrazione di minerali metalliferi ferrosi
B 07.10.0,B 07.10,0,5,N,it,Estrazione di minerali metalliferi ferrosi
B 07.10.00,B 07.10.0,1,6,N,it,Estrazione di minerali metalliferi ferrosi
B 07.2,B 07,0,3,N,it,ESTRAZIONE DI MINERALI METALLIFERI NON FERROSI
B 07.21,B 07.2,0,4,N,it,Estrazione di minerali di uranio e di torio
B 07.21.0,B 07.21,0,5,N,it,Estrazione di minerali di uranio e di torio
B 07.21.00,B 07.21.0,1,6,N,it,Estrazione di minerali di uranio e di torio
B 07.29,B 07.2,0,4,N,it,Estrazione di altri minerali metalliferi non ferrosi
B 07.29.0,B 07.29,0,5,N,it,Estrazione di altri minerali metalliferi non ferrosi
B 07.29.00,B 07.29.0,1,6,N,it,Estrazione di altri minerali metalliferi non ferrosi
B 08,B,0,2,N,it,ALTRE ATTIVITà DI ESTRAZIONE DI MINERALI DA CAVE E MINIERE
B 08.1,B 08,0,3,N,it,"ESTRAZIONE DI PIETRA, SABBIA E ARGILLA"
B 08.11,B 08.1,0,4,N,it,"Estrazione di pietre ornamentali e da costruzione, calcare, pietra da gesso, creta e ardesia"
B 08.11.0,B 08.11,0,5,N,it,"Estrazione di pietre ornamentali e da costruzione, calcare, pietra da gesso, creta e ardesia"
B 08.11.00,B 08.11.0,1,6,N,it,"Estrazione di pietre ornamentali e da costruzione, calcare, pietra da gesso, creta e ardesia"
B 08.12,B 08.1,0,4,N,it,Estrazione di ghiaia e sabbia; estrazione di argille e caolino
B 08.12.0,B 08.12,0,5,N,it,"Estrazione di ghiaia, sabbia; estrazione di argille e caolino"
B 08.12.00,B 08.12.0,1,6,N,it,"Estrazione di ghiaia, sabbia; estrazione di argille e caolino"
B 08.9,B 08,0,3,N,it,ESTRAZIONE DI MINERALI DA CAVE E MINIERE NCA
B 08.91,B 08.9,0,4,N,it,Estrazione di minerali per l'industria chimica e per la produzione di fertilizzanti
B 08.91.0,B 08.91,0,5,N,it,Estrazione di minerali per l'industria chimica e per la produzione di fertilizzanti
B 08.91.00,B 08.91.0,1,6,N,it,Estrazione di minerali per l'industria chimica e per la produzione di fertilizzanti
B 08.92,B 08.9,0,4,N,it,Estrazione di torba
B 08.92.0,B 08.92,0,5,N,it,Estrazione di torba
B 08.92.00,B 08.92.0,1,6,N,it,Estrazione di torba
B 08.93,B 08.9,0,4,N,it,Estrazione di sale
B 08.93.0,B 08.93,0,5,N,it,Estrazione di sale
B 08.93.00,B 08.93.0,1,6,N,it,Estrazione di sale
B 08.99,B 08.9,0,4,N,it,Estrazione di altri minerali da cave e miniere nca
B 08.99.0,B 08.99,0,5,N,it,Estrazione di altri minerali nca
B 08.99.01,B 08.99.0,1,6,N,it,Estrazione di asfalto e bitume naturale
B 08.99.09,B 08.99.0,1,6,N,it,Estrazione di pomice e di altri minerali nca
B 09,B,0,2,N,it,ATTIVITà DEI SERVIZI DI SUPPORTO ALL'ESTRAZIONE
B 09.1,B 09,0,3,N,it,ATTIVITà DI SUPPORTO ALL'ESTRAZIONE DI PETROLIO E DI GAS NATURALE
B 09.10,B 09.1,0,4,N,it,Attività di supporto all'estrazione di petrolio e di gas naturale
B 09.10.0,B 09.10,0,5,N,it,Attività di supporto all'estrazione di petrolio e di gas naturale
B 09.10.00,B 09.10.0,1,6,N,it,Attività di supporto all'estrazione di petrolio e di gas naturale
B 09.9,B 09,0,3,N,it,ATTIVITà DI SUPPORTO PER L'ESTRAZIONE DA CAVE E MINIERE DI ALTRI MINERALI
B 09.90,B 09.9,0,4,N,it,Attività di supporto per l'estrazione da cave e miniere di altri minerali
B 09.90.0,B 09.90,0,5,N,it,Attività di supporto per l'estrazione da cave e miniere di altri minerali
B 09.90.01,B 09.90.0,1,6,N,it,"Attività di supporto all'estrazione di pietre ornamentali, da costruzione, da gesso, di anidrite, per calce e cementi, di dolomite, di ardesia, di ghiaia e sabbia, di argilla, di caolino, di pomice"
B 09.90.09,B 09.90.0,1,6,N,it,Attività di supporto all'estrazione di altri minerali nca
C,,0,1,N,it,ATTIVITà MANIFATTURIERE
C 10,C,0,2,N,it,INDUSTRIE ALIMENTARI
C 10.1,C 10,0,3,N,it,LAVORAZIONE E CONSERVAZIONE DI CARNE E PRODUZIONE DI PRODOTTI A BASE DI CARNE
C 10.11,C 10.1,0,4,N,it,Lavorazione e conservazione di carne (escluso volatili)
C 10.11.0,C 10.11,0,5,N,it,Produzione di carne non di volatili e di prodotti della macellazione (attività dei mattatoi)
C 10.11.00,C 10.11.0,1,6,N,it,Produzione di carne non di volatili e di prodotti della macellazione (attività dei mattatoi)
C 10.12,C 10.1,0,4,N,it,Lavorazione e conservazione di carne di volatili
